wavelength_nm,absorbance,baseline intensity,sample intensity
337.373260498,-0.000251109854873,1556.1,1557.0
337.831827048,0.000530325279187,1556.9,1555.0
338.290423593,-5.59333482522e-05,1552.8,1553.0
338.749050143,0.00148056667634,1557.3,1552.0
339.207706708,-0.000446231204841,1556.4,1558.0
339.6663933,0.0007833192985,1553.8,1551.0
340.125109928,-0.0,1557.0,1557.0
340.583856603,0.0005027526881,1555.8,1554.0
341.042633336,-0.001479900332,1552.7,1558.0
341.501440136,-0.00114145222656,1557.9,1562.0
341.960277014,0.000111989294562,1551.4,1551.0
342.41914398,-0.000389676546469,1559.6,1561.0
342.878041045,-0.00102929912899,1559.3,1563.0
343.33696822,5.57824780041e-05,1557.2,1557.0
343.795925514,0.00109136851752,1553.9,1550.0
344.254912938,-0.000641189774252,1556.7,1559.0
344.713930503,-0.000834379664725,1560.0,1563.0
345.172978218,0.000642302987139,1556.3,1554.0
345.632056094,-0.000862772492986,1558.9,1562.0
346.091164143,-0.000640367656732,1558.7,1561.0
346.550302373,0.000167325943855,1557.6,1557.0
347.009470795,0.00128200992585,1560.6,1556.0
347.46866942,-0.000250305814436,1561.1,1562.0
347.927898259,0.000166897260199,1561.6,1561.0
348.387157321,0.000278126478864,1562.0,1561.0
348.846446617,-0.000417523969255,1559.5,1561.0
349.305766157,0.000805561008424,1564.9,1562.0
349.765115952,0.00058311342285,1565.1,1563.0
350.224496013,-0.000360444893467,1565.7,1567.0
350.683906348,0.000138464685344,1568.5,1568.0
351.14334697,0.000554654586123,1567.0,1565.0
351.602817888,-0.000942732438414,1564.6,1568.0
352.062319113,0.000193961873471,1567.7,1567.0
352.521850655,-0.000387441735162,1568.6,1570.0
352.981412524,0.000332241109079,1569.2,1568.0
353.441004732,0.000887674262851,1567.2,1564.0
353.900627287,2.75908949556e-05,1574.1,1574.0
354.360280202,0.000665925735233,1566.4,1564.0
354.819963485,-0.000385476646536,1576.6,1578.0
355.279677148,0.000331818033641,1571.2,1570.0
355.739421201,-0.000331017151622,1573.8,1575.0
