wavelength_nm,absorbance,baseline intensity,sample intensity
337.373260498,0.00198608495404,1556.1,1549.0
337.831827048,0.00164892082844,1556.9,1551.0
338.290423593,0.00246822638059,1552.8,1544.0
338.749050143,0.00176048578491,1557.3,1551.0
339.207706708,0.0015094243181,1556.4,1551.0
339.6663933,0.00246663335125,1553.8,1545.0
340.125109928,0.00279829886875,1557.0,1547.0
340.583856603,0.00190234939379,1555.8,1549.0
341.042633336,0.0021590692437,1552.7,1545.0
341.501440136,0.00136812158616,1557.9,1553.0
341.960277014,0.000952830761293,1551.4,1548.0
342.41914398,0.00240142870234,1559.6,1551.0
342.878041045,0.00287826113099,1559.3,1549.0
343.33696822,0.00117293931757,1557.2,1553.0
343.795925514,0.00165211034093,1553.9,1548.0
344.254912938,0.0018732272443,1556.7,1550.0
344.713930503,0.00223288143229,1560.0,1552.0
345.172978218,0.00260300375267,1556.3,1547.0
345.632056094,0.000808664394625,1558.9,1556.0
346.091164143,0.00187081848352,1558.7,1552.0
346.550302373,0.00156422158981,1557.6,1552.0
347.009470795,0.00239988565735,1560.6,1552.0
347.46866942,0.00142113107318,1561.1,1556.0
347.927898259,0.000723685133775,1561.6,1559.0
348.387157321,0.00223001507639,1562.0,1554.0
348.846446617,0.00265368092287,1559.5,1550.0
349.305766157,0.00136199219524,1564.9,1560.0
349.765115952,0.00141749308758,1565.1,1560.0
350.224496013,0.00130564851271,1565.7,1561.0
350.683906348,0.0023599246793,1568.5,1560.0
351.14334697,0.00222288127975,1567.0,1559.0
351.602817888,0.00155721072116,1564.6,1559.0
352.062319113,0.000471200620137,1567.7,1566.0
352.521850655,0.00127546195024,1568.6,1564.0
352.981412524,0.00283218426866,1569.2,1559.0
353.441004732,0.00255696965013,1567.2,1558.0
353.900627287,0.00307334089881,1574.1,1563.0
354.360280202,0.00205655927022,1566.4,1559.0
354.819963485,0.00209857863993,1576.6,1569.0
355.279677148,0.00227249242369,1571.2,1563.0
355.739421201,0.00188054450541,1573.8,1567.0
356.199195654,0.00262999852541,1573.5,1564.0
356.659000518,0.00091073130333,1575.3,1572.0
357.118835803,0.00240760293699,1573.7,1565.0
357.578701519,0.00223913503451,1575.1,1567.0
358.038597677,0.000992799603578,1576.6,1573.0
358.498524288,0.00401095753689,1566.4,1552.0
358.958481361,0.00123828702206,1580.5,1576.0
359.418468907,0.00201209366853,1579.3,1572.0
359.878486936,0.00138090571639,1575.0,1570.0
360.33853546,0.00215778325207,1573.8,1566.0
360.798614487,0.00165340738501,1579.0,1573.0
361.25872403,0.00179090761788,1579.5,1573.0
361.718864097,0.00179204452485,1578.5,1572.0
362.1790347,0.00197706478875,1585.2,1578.0
362.639235848,0.00178298948201,1586.5,1580.0
363.099467553,0.00170949734269,1578.2,1572.0
363.559729824,0.0015923325222,1584.8,1579.0
364.020022673,0.00183657485096,1587.7,1581.0
364.480346108,0.0024925676477,1590.1,1581.0
364.940700142,0.00251987918951,1590.2,1581.0
365.401084783,0.00232719428172,1590.5,1582.0
365.861500044,0.00175118979976,1590.4,1584.0
366.321945933,0.00125621329916,1592.6,1588.0
366.782422461,0.00224244232963,1592.2,1584.0
367.24292964,0.0010953208376,1588.0,1584.0
367.703467478,0.00194229848575,1591.1,1584.0
368.164035987,0.00147338848505,1594.4,1589.0
368.624635177,0.00130992528185,1593.8,1589.0
369.085265058,0.00190898980733,1596.0,1589.0
369.545925641,0.00308718794116,1595.3,1584.0
370.006616937,0.00246059854766,1593.0,1584.0
370.467338954,0.00161057253832,1593.9,1588.0
370.928091705,0.00256157367453,1598.4,1589.0
371.388875199,0.00236391986812,1602.7,1594.0
371.849689446,0.000571422288506,1597.1,1595.0
372.310534458,0.00125070806828,1599.6,1595.0
372.771410244,0.00160251436914,1601.9,1596.0
373.232316815,0.00114209371686,1599.2,1595.0
373.693254182,0.00252331867921,1605.3,1596.0
374.154222354,0.000324382797531,1607.2,1606.0
374.615221342,0.00195359586558,1604.2,1597.0
375.076251157,0.00105401494184,1608.9,1605.0
375.537311808,0.00223870582349,1614.3,1606.0
375.998403307,0.00132799439575,1604.9,1600.0
376.459525663,0.00151171777368,1611.6,1606.0
376.920678888,0.000620362996133,1611.3,1609.0
377.381862991,0.00140304005347,1612.2,1607.0
377.843077982,0.00246458818972,1608.1,1599.0
378.304323873,0.00086340879711,1611.2,1608.0
378.765600674,0.00137183964533,1617.1,1612.0
379.226908395,0.00150610077785,1617.6,1612.0
379.688247046,0.0020644342424,1623.7,1616.0
380.149616637,0.00147833634963,1618.5,1613.0
380.61101718,0.00145240130553,1617.4,1612.0
381.072448685,0.00134331836732,1619.0,1614.0
381.533911162,0.00257074805773,1626.6,1617.0
381.995404621,0.00227695392574,1625.5,1617.0
382.456929073,0.00018704041716,1625.7,1625.0
382.918484528,0.00117506880221,1628.4,1624.0
383.380070996,0.00160453808834,1627.0,1621.0
383.841688489,0.000826187168191,1631.1,1628.0
384.303337016,0.00197443306599,1631.4,1624.0
384.765016588,0.00266602729124,1634.0,1624.0
385.226727214,-5.3127956749e-05,1634.8,1635.0
385.688468907,0.00169874601393,1639.4,1633.0
386.150241675,0.00111350822492,1640.2,1636.0
386.61204553,0.00140552789859,1640.3,1635.0
387.073880481,0.00116079264852,1648.4,1644.0
387.53574654,0.00142504241749,1648.4,1643.0
387.997643716,0.000952864920796,1642.6,1639.0
388.45957202,0.000158088146587,1648.6,1648.0
388.921531462,0.000759416514478,1659.9,1657.0
389.383522053,0.0022577168324,1658.6,1650.0
389.845543804,0.000549061457195,1662.1,1660.0
390.307596723,-0.00026075922843,1665.0,1666.0
390.769680823,0.00112082784186,1668.3,1664.0
391.231796113,0.0010700449365,1666.1,1662.0
391.693942603,0.000702847338429,1669.7,1667.0
392.156120305,0.000625559318677,1667.4,1665.0
392.618329228,2.59117855692e-05,1676.1,1676.0
393.080569383,0.000834880914382,1666.2,1663.0
393.54284078,0.000725811646391,1676.8,1674.0
394.00514343,0.00191787574681,1679.4,1672.0
394.467477343,0.000904376757966,1682.5,1679.0
394.929842529,0.00134456603343,1682.2,1677.0
395.392239,-0.00010274295811,1690.6,1691.0
395.854666764,0.00168876874584,1700.6,1694.0
396.317125833,0.000204566410708,1698.8,1698.0
396.779616217,-0.0,1704.0,1704.0
397.242137927,0.000713043756593,1706.8,1704.0
397.704690972,0.000788909357541,1708.1,1705.0
398.167275364,0.000783856807304,1719.1,1716.0
398.629891112,0.000456111873085,1714.8,1713.0
399.092538227,-2.52651026513e-05,1718.9,1719.0
399.55521672,0.0016214490216,1717.4,1711.0
400.0179266,0.000478367256468,1725.9,1724.0
400.480667879,0.000327931259721,1722.3,1721.0
400.943440566,0.00027928090179,1711.1,1710.0
401.406244672,0.00085714385429,1724.4,1721.0
401.869080208,0.0013841064304,1728.5,1723.0
402.331947183,0.000327360828693,1725.3,1724.0
402.794845608,-0.000928757735139,1728.3,1732.0
403.257775494,0.00125773178523,1729.0,1724.0
403.720736851,0.00082667910075,1735.3,1732.0
404.18372969,4.98587316894e-05,1742.2,1742.0
404.64675402,-0.000149524698293,1742.4,1743.0
405.109809852,0.000372731662333,1748.5,1747.0
405.572897196,0.000172991231884,1757.7,1757.0
406.036016064,0.000689200183933,1765.8,1763.0
406.499166465,-0.000271210619444,1760.9,1762.0
406.96234841,-0.00196180788435,1767.0,1775.0
407.425561908,0.000366441716498,1778.5,1777.0
407.888806972,0.000563652878475,1773.3,1771.0
408.35208361,0.000294171030825,1772.2,1771.0
408.815391833,-0.000609707360991,1779.5,1782.0
409.278731653,-7.37822266241e-05,1765.7,1766.0
409.742103078,0.000219778482417,1778.9,1778.0
410.20550612,-0.000149610548153,1741.4,1742.0
410.668940788,-0.000735054305633,1771.0,1774.0
411.132407094,0.000465678825405,1772.9,1771.0
411.595905048,2.45218645447e-05,1771.1,1771.0
412.059434659,0.000196357856585,1769.8,1769.0
412.522995939,0.000686476686529,1772.8,1770.0
412.986588898,-0.00117205373798,1776.2,1781.0
413.450213546,-0.0010742616903,1776.6,1781.0
413.913869894,-0.000953124087251,1775.1,1779.0
414.377557952,0.000464368493336,1777.9,1776.0
414.84127773,-0.000363883123008,1789.5,1791.0
415.305029239,-0.000653383847721,1793.3,1796.0
415.76881249,-0.00125156997831,1801.8,1807.0
416.232627491,-0.00176941232815,1812.6,1820.0
416.696474255,-0.00138928362643,1810.2,1816.0
417.160352792,-0.000666095961715,1824.2,1827.0
417.624263111,-0.00151984225769,1825.6,1832.0
418.088205223,-0.000380084900666,1827.4,1829.0
418.552179139,-0.000661746182305,1836.2,1839.0
419.016184869,-0.000965648802516,1841.9,1846.0
419.480222423,-0.00108473456879,1839.4,1844.0
419.944291812,-0.00203018934929,1835.4,1844.0
420.408393046,-0.00122509102931,1840.8,1846.0
420.872526136,-0.00189950641827,1847.9,1856.0
421.336691092,-0.00110774437446,1840.3,1845.0
421.800887924,-0.00138726056249,1844.1,1850.0
422.265116643,-0.00122976084451,1833.8,1839.0
422.729377259,-0.00113073046796,1841.2,1846.0
423.193669782,-0.000825991655949,1838.5,1842.0
423.657994224,-0.00192925976921,1841.8,1850.0
424.122350593,-0.00124665547411,1843.7,1849.0
424.586738902,-0.00168986392937,1846.8,1854.0
425.051159159,-0.000750644208746,1849.8,1853.0
425.515611376,-0.000793743831372,1858.6,1862.0
425.980095563,-0.000326134368523,1863.6,1865.0
426.444611731,-0.00167268863546,1865.8,1873.0
426.909159889,-0.00149130132811,1860.6,1867.0
427.373740048,-0.000184550935276,1882.2,1883.0
427.838352218,-0.00165673628364,1883.8,1891.0
428.302996411,-0.00138415245022,1910.9,1917.0
428.767672635,-0.00137910854827,1917.9,1924.0
429.232380903,-0.00144780042625,1916.6,1923.0
429.697121223,-0.00262712867821,1928.3,1940.0
430.161893607,-0.00280953409465,1941.4,1954.0
430.626698065,-0.00320977820547,1927.7,1942.0
431.091534607,-0.00175580516375,1950.1,1958.0
431.556403244,-0.0017939214693,1956.9,1965.0
432.021303985,-0.00320677204274,1956.5,1971.0
432.486236842,-0.00240106612085,1966.1,1977.0
432.951201825,-0.0016582474591,1960.5,1968.0
433.416198945,-0.00363982267745,1960.5,1977.0
433.88122821,-0.00228484066657,1971.6,1982.0
434.346289633,-0.00338076570565,1970.6,1986.0
434.811383223,-0.00256091428818,1961.4,1973.0
435.276508991,-0.00173537895963,1973.1,1981.0
435.741666948,-0.00213607736077,1967.3,1977.0
436.206857102,-0.0032843197758,1976.0,1991.0
436.672079466,-0.00309293731303,1986.8,2001.0
437.137334049,-0.00232621433507,1992.3,2003.0
437.602620862,-0.00335698690263,1997.5,2013.0
438.067939915,-0.00258637676705,2009.0,2021.0
438.533291219,-0.00269047126048,2011.5,2024.0
438.998674784,-0.00266406480024,2031.5,2044.0
439.46409062,-0.00342882555331,2043.8,2060.0
439.929538738,-0.00388708620138,2046.6,2065.0
440.395019147,-0.00246047939836,2059.3,2071.0
440.86053186,-0.00402523279168,2072.7,2092.0
441.326076885,-0.00263568052415,2086.3,2099.0
441.791654234,-0.002391667264,2082.5,2094.0
442.257263916,-0.00351890652251,2101.9,2119.0
442.722905943,-0.00369579800218,2117.9,2136.0
443.188580324,-0.0034043185128,2109.4,2126.0
443.65428707,-0.00381885084071,2117.3,2136.0
444.120026191,-0.0034566663622,2139.9,2157.0
444.585797698,-0.00354062963961,2125.6,2143.0
445.051601601,-0.00411159903682,2144.6,2165.0
445.517437911,-0.00151621641926,2144.5,2152.0
445.983306637,-0.00315675321348,2138.4,2154.0
446.449207791,-0.00353456360164,2141.5,2159.0
446.915141382,-0.00424494146147,2138.0,2159.0
447.381107422,-0.00319683037052,2152.1,2168.0
447.84710592,-0.00316170085866,2176.1,2192.0
448.313136887,-0.00345604909283,2152.8,2170.0
448.779200333,-0.00417116589437,2176.0,2197.0
449.245296268,-0.00363428465509,2201.5,2220.0
449.711424704,-0.00359645878118,2200.7,2219.0
450.17758565,-0.00346177184575,2224.2,2242.0
450.643779117,-0.00354874452894,2242.6,2261.0
451.110005116,-0.00403997780174,2247.0,2268.0
451.576263655,-0.00363748882272,2259.0,2278.0
452.042554747,-0.00349442958704,2277.6,2296.0
452.508878402,-0.00331150676513,2299.4,2317.0
452.975234629,-0.00247526511951,2291.9,2305.0
453.441623439,-0.00330149433814,2306.4,2324.0
453.908044843,-0.0031973208577,2287.1,2304.0
454.374498851,-0.00377903165258,2299.9,2320.0
454.840985473,-0.00275576815869,2309.3,2324.0
455.30750472,-0.00284821393799,2294.9,2310.0
455.774056602,-0.0040037770806,2310.6,2332.0
456.24064113,-0.00297811714035,2296.2,2312.0
456.707258314,-0.00256555561221,2295.4,2309.0
457.173908164,-0.00299370881958,2284.2,2300.0
457.640590691,-0.00249370941476,2274.9,2288.0
458.107305905,-0.00254875082577,2276.6,2290.0
458.574053816,-0.00319037175934,2292.1,2309.0
459.040834436,-0.0026714156053,2269.0,2283.0
459.507647774,-0.00302459874848,2275.1,2291.0
459.97449384,-0.00348145150984,2273.7,2292.0
460.441372646,-0.00235906116042,2276.6,2289.0
460.908284201,-0.00255997925201,2283.5,2297.0
461.375228516,-0.00191048643954,2290.9,2301.0
461.842205602,-0.00315088067896,2307.2,2324.0
462.309215468,-0.00127590279144,2311.2,2318.0
462.776258125,-0.00264122688377,2327.8,2342.0
463.243333584,-0.00224899381117,2349.8,2362.0
463.710441855,-0.00259674092215,2367.8,2382.0
464.177582948,-0.00209542707066,2398.4,2410.0
464.644756873,-0.00178575285279,2427.0,2437.0
465.111963642,-0.00189312460622,2449.3,2460.0
465.579203264,-0.00216281683813,2463.7,2476.0
466.04647575,-0.00116453875982,2495.3,2502.0
466.51378111,-0.00128074821473,2505.6,2513.0
466.981119355,-0.00202869411545,2520.2,2532.0
467.448490495,-0.00228183771394,2524.7,2538.0
467.915894541,-0.00174620520976,2506.9,2517.0
468.383331502,-0.00105843011281,2499.9,2506.0
468.850801389,-0.00103691529219,2510.0,2516.0
469.318304213,-0.00073875693672,2525.7,2530.0
469.785839984,-0.00188331931775,2508.1,2519.0
470.253408713,-0.00147675033625,2495.5,2504.0
470.721010409,-0.000481288955031,2525.2,2528.0
471.188645084,-0.00102286925519,2502.1,2508.0
471.656312747,-0.000912908402894,2518.7,2524.0
472.124013409,-0.00125609482184,2485.8,2493.0
472.591747081,-0.000630122686251,2479.4,2483.0
473.059513772,0.000294395856015,2508.7,2507.0
473.527313494,-0.000608438280909,2496.5,2500.0
473.995146256,-0.000641690743518,2502.3,2506.0
474.463012069,-0.00045172050836,2498.4,2501.0
474.930910943,-0.00038173635451,2501.8,2504.0
475.398842889,0.000706016045657,2524.1,2520.0
475.866807918,0.000324234092592,2545.9,2544.0
476.334806039,6.73794868939e-05,2578.4,2578.0
476.802837262,-0.000454203787508,2580.3,2583.0
477.2709016,0.000816139748641,2609.9,2605.0
477.73899906,0.00011628364188,2614.7,2614.0
478.207129655,0.000789208028622,2643.8,2639.0
478.675293395,0.00017861843556,2675.1,2674.0
479.14349029,0.000384303084058,2713.4,2711.0
479.611720349,0.000573999692505,2725.6,2722.0
480.079983585,-0.0005382573643,2741.6,2745.0
480.548280006,0.0014710050887,2809.5,2800.0
481.016609625,0.000951088574737,2834.2,2828.0
481.48497245,0.00153206504118,2868.1,2858.0
481.953368492,0.00112159322165,2830.3,2823.0
482.421797762,0.00140607852042,2846.2,2837.0
482.89026027,0.00191606452996,2839.5,2827.0
483.358756026,0.00195092956993,2855.8,2843.0
483.827285042,0.00171035461108,2900.4,2889.0
484.295847326,0.00222692140934,2854.6,2840.0
484.764442891,0.00206098479967,2851.5,2838.0
485.233071745,0.00231110012242,2845.1,2830.0
485.7017339,0.00226628353149,2882.0,2867.0
486.170429365,0.00200863349356,2882.3,2869.0
486.639158152,0.00260910775081,2888.3,2871.0
487.107920271,0.00310809378579,2916.8,2896.0
487.576715731,0.00301806256539,2931.3,2911.0
488.045544544,0.00282968224317,2894.8,2876.0
488.51440672,0.00278081694756,2898.5,2880.0
488.983302269,0.00299663710541,2923.1,2903.0
489.452231202,0.00328709676628,2944.2,2922.0
489.921193528,0.00294507600693,2974.1,2954.0
490.390189259,0.00338837876317,2985.2,2962.0
490.859218405,0.00266726638549,3021.5,3003.0
491.328280976,0.0037904905159,3049.5,3023.0
491.797376983,0.00374529671344,3051.2,3025.0
492.266506435,0.0034000776888,3103.2,3079.0
492.735669344,0.00325829017852,3117.3,3094.0
493.20486572,0.00417288481393,3158.2,3128.0
493.674095573,0.00421615106119,3177.7,3147.0
494.143358913,0.00472704300866,3223.9,3189.0
494.612655751,0.00371858681985,3225.5,3198.0
495.081986098,0.00368666496634,3288.8,3261.0
495.551349963,0.00505362765027,3353.8,3315.0
496.020747358,0.00533217649664,3368.1,3327.0
496.490178292,0.00445632867567,3379.5,3345.0
496.959642776,0.00421058226178,3409.9,3377.0
497.42914082,0.00572637639475,3458.3,3413.0
497.898672435,0.00485278229008,3491.8,3453.0
498.368237631,0.00461074433537,3513.1,3476.0
498.837836419,0.00479207668635,3544.9,3506.0
499.307468809,0.00510458119355,3568.7,3527.0
499.77713481,0.00444657325575,3573.4,3537.0
500.246834435,0.00476370024388,3565.9,3527.0
500.716567693,0.00572268221823,3613.3,3566.0
501.186334594,0.00473629300875,3623.3,3584.0
501.656135149,0.00517860147371,3636.1,3593.0
502.125969368,0.00603339222156,3616.9,3567.0
502.595837262,0.00442058276312,3633.8,3597.0
503.065738841,0.00433802148212,3652.3,3616.0
503.535674115,0.00396260095604,3666.3,3633.0
504.005643095,0.00447785929689,3636.3,3599.0
504.475645792,0.00566561897582,3672.6,3625.0
504.945682215,0.00481592239062,3681.6,3641.0
505.415752375,0.0035433523882,3692.0,3662.0
505.885856282,0.00417735500252,3708.5,3673.0
506.355993948,0.00431786169763,3709.7,3673.0
506.826165381,0.0038761659483,3792.7,3759.0
507.296370594,0.00408639087278,3769.3,3734.0
507.766609595,0.00357739528231,3791.1,3760.0
508.236882396,0.00363926462854,3810.8,3779.0
508.707189006,0.00365467358878,3866.4,3834.0
509.177529437,0.00358737801784,3890.0,3858.0
509.647903698,0.00365243241342,3821.0,3789.0
510.1183118,0.00418228181262,3871.1,3834.0
510.588753753,0.00364576044686,3911.7,3879.0
511.059229569,0.00363492407524,3995.3,3962.0
511.529739256,0.00367979380327,4017.9,3984.0
512.000282826,0.00363520648822,3959.0,3926.0
512.470860289,0.00314746847457,4016.0,3987.0
512.941471656,0.00356801400914,4008.8,3976.0
513.412116936,0.00368367856178,4049.2,4015.0
513.88279614,0.00419611459361,4056.0,4017.0
514.353509279,0.00318213133739,4054.6,4025.0
514.824256362,0.00384239452801,4087.0,4051.0
515.295037401,0.00366693312395,4091.4,4057.0
515.765852406,0.00368387718098,4084.5,4050.0
516.236701387,0.00434276601878,4060.4,4020.0
516.707584354,0.0037784248761,4132.8,4097.0
517.178501319,0.00424222647229,4115.0,4075.0
517.64945229,0.00462087413899,4119.6,4076.0
518.120437279,0.00400195347216,4077.4,4040.0
518.591456297,0.00390836594361,4141.1,4104.0
519.062509353,0.00343553014636,4099.3,4067.0
519.533596457,0.00401981237468,4146.2,4108.0
520.004717621,0.00356399025905,4147.9,4114.0
520.475872855,0.00427619731852,4133.5,4093.0
520.947062169,0.00439496074496,4131.6,4090.0
521.418285573,0.0039984976016,4168.2,4130.0
521.889543078,0.00397443215743,4204.3,4166.0
522.360834694,0.00493551286804,4203.5,4156.0
522.832160432,0.00478297057891,4245.5,4199.0
523.303520302,0.00448476139562,4253.7,4210.0
523.774914314,0.0048995561667,4314.4,4266.0
524.246342479,0.00508782346663,4310.2,4260.0
524.717804808,0.00513221216793,4315.7,4265.0
525.18930131,0.00597680789826,4360.6,4301.0
