wavelength_nm,absorbance,baseline intensity,sample intensity
337.373260498,0.00763001730093,1556.1,1529.0
337.831827048,0.00899087495924,1556.9,1525.0
338.290423593,0.00927193443553,1552.8,1520.0
338.749050143,0.00967238026247,1557.3,1523.0
339.207706708,0.00913625512812,1556.4,1524.0
339.6663933,0.00898046467755,1553.8,1522.0
340.125109928,0.00958870923208,1557.0,1523.0
340.583856603,0.00925386381695,1555.8,1523.0
341.042633336,0.00952977914176,1552.7,1519.0
341.501440136,0.00983967397868,1557.9,1523.0
341.960277014,0.0103111542698,1551.4,1515.0
342.41914398,0.0103133231799,1559.6,1523.0
342.878041045,0.00994471188662,1559.3,1524.0
343.33696822,0.00935942804254,1557.2,1524.0
343.795925514,0.0112971915238,1553.9,1514.0
344.254912938,0.0109331538551,1556.7,1518.0
344.713930503,0.00928556129804,1560.0,1527.0
345.172978218,0.0102497295073,1556.3,1520.0
345.632056094,0.0106890429953,1558.9,1521.0
346.091164143,0.0103478829711,1558.7,1522.0
346.550302373,0.0111841669525,1557.6,1518.0
347.009470795,0.0114480146347,1560.6,1520.0
347.46866942,0.0110160712923,1561.1,1522.0
347.927898259,0.0102999566398,1561.6,1525.0
348.387157321,0.0112663771067,1562.0,1522.0
348.846446617,0.0117136075337,1559.5,1518.0
349.305766157,0.0120719381152,1564.9,1522.0
349.765115952,0.012412877389,1565.1,1521.0
350.224496013,0.0128649636304,1565.7,1520.0
350.683906348,0.0119299894149,1568.5,1526.0
351.14334697,0.012084029465,1567.0,1524.0
351.602817888,0.0128455520472,1564.6,1519.0
352.062319113,0.012563055006,1567.7,1523.0
352.521850655,0.0130975582395,1568.6,1522.0
352.981412524,0.0132636470229,1569.2,1522.0
353.441004732,0.0129952089337,1567.2,1521.0
353.900627287,0.0126248335057,1574.1,1529.0
354.360280202,0.0139170936723,1566.4,1517.0
354.819963485,0.0153068697923,1576.6,1522.0
355.279677148,0.0155322691468,1571.2,1516.0
355.739421201,0.0151059530292,1573.8,1520.0
356.199195654,0.0153089733865,1573.5,1519.0
356.659000518,0.0158054991439,1575.3,1519.0
357.118835803,0.0165093119811,1573.7,1515.0
357.578701519,0.0160363599436,1575.1,1518.0
358.038597677,0.0153068697923,1576.6,1522.0
358.498524288,0.0159257271659,1566.4,1510.0
358.958481361,0.015809533172,1580.5,1524.0
359.418468907,0.0149101017531,1579.3,1526.0
359.878486936,0.0160087865662,1575.0,1518.0
360.33853546,0.0153917671112,1573.8,1519.0
360.798614487,0.0159674775737,1579.0,1522.0
361.25872403,0.0163904161882,1579.5,1521.0
361.718864097,0.0161153721752,1578.5,1521.0
362.1790347,0.0168142199793,1585.2,1525.0
362.639235848,0.0177401731004,1586.5,1523.0
363.099467553,0.01746283775,1578.2,1516.0
363.559729824,0.0175598100959,1584.8,1522.0
364.020022673,0.0183537923486,1587.7,1522.0
364.480346108,0.0184394705763,1590.1,1524.0
364.940700142,0.0176127120653,1590.2,1527.0
365.401084783,0.0185487064398,1590.5,1524.0
365.861500044,0.0190917146187,1590.4,1522.0
366.321945933,0.0188368677074,1592.6,1525.0
366.782422461,0.0190126525795,1592.2,1524.0
367.24292964,0.0198649173043,1588.0,1517.0
367.703467478,0.0189975724032,1591.1,1523.0
368.164035987,0.0193274420096,1594.4,1525.0
368.624635177,0.0188792888704,1593.8,1526.0
369.085265058,0.0203329836787,1596.0,1523.0
369.545925641,0.0201424618586,1595.3,1523.0
370.006616937,0.0209440042417,1593.0,1518.0
370.467338954,0.0206174826846,1593.9,1520.0
370.928091705,0.020130937263,1598.4,1526.0
371.388875199,0.0215823932454,1602.7,1525.0
371.849689446,0.0217743358189,1597.1,1519.0
372.310534458,0.0221678075167,1599.6,1520.0
372.771410244,0.0227918134391,1601.9,1520.0
373.232316815,0.023776905946,1599.2,1514.0
373.693254182,0.0234269916409,1605.3,1521.0
374.154222354,0.0230849567366,1607.2,1524.0
374.615221342,0.0228438595695,1604.2,1522.0
375.076251157,0.0241143992482,1608.9,1522.0
375.537311808,0.021875866953,1614.3,1535.0
375.998403307,0.0244623962649,1604.9,1517.0
376.459525663,0.0237027250975,1611.6,1526.0
376.920678888,0.0247617546606,1611.3,1522.0
377.381862991,0.0247190134808,1612.2,1523.0
377.843077982,0.0244694639912,1608.1,1520.0
378.304323873,0.0250202391565,1611.2,1521.0
378.765600674,0.0240454462968,1617.1,1530.0
379.226908395,0.0258861712433,1617.6,1524.0
379.688247046,0.0269512570621,1623.7,1526.0
380.149616637,0.0247052183263,1618.5,1529.0
380.61101718,0.0278318579879,1617.4,1517.0
381.072448685,0.0276890748906,1619.0,1519.0
381.533911162,0.0282958009605,1626.6,1524.0
381.995404621,0.0288577597791,1625.5,1521.0
382.456929073,0.0272013686756,1625.7,1527.0
382.918484528,0.0284912500246,1628.4,1525.0
383.380070996,0.0284025859333,1627.0,1524.0
383.841688489,0.0294956207178,1631.1,1524.0
384.303337016,0.0292906142883,1631.4,1525.0
384.765016588,0.0299822085136,1634.0,1525.0
385.226727214,0.030479662036,1634.8,1524.0
385.688468907,0.0311303971317,1639.4,1526.0
386.150241675,0.0319118405566,1640.2,1524.0
386.61204553,0.0327940708419,1640.3,1521.0
387.073880481,0.0326551204402,1648.4,1529.0
387.53574654,0.0332235687961,1648.4,1527.0
387.997643716,0.0359800273261,1642.6,1512.0
388.45957202,0.0344153921716,1648.6,1523.0
388.921531462,0.0356744395215,1659.9,1529.0
389.383522053,0.0364718173635,1658.6,1525.0
389.845543804,0.035681958799,1662.1,1531.0
390.307596723,0.03700675243,1665.0,1529.0
390.769680823,0.0387196161777,1668.3,1526.0
391.231796113,0.0378620273282,1666.1,1527.0
391.693942603,0.0393686034836,1669.7,1525.0
392.156120305,0.039339893825,1667.4,1523.0
392.618329228,0.0393247353816,1676.1,1531.0
393.080569383,0.0393124776993,1666.2,1522.0
393.54284078,0.0400737798913,1676.8,1529.0
394.00514343,0.0415996152309,1679.4,1526.0
394.467477343,0.0426852292132,1682.5,1525.0
394.929842529,0.0440340406947,1682.2,1520.0
395.392239,0.0430656739414,1690.6,1531.0
395.854666764,0.0453434094439,1700.6,1532.0
396.317125833,0.0477275998841,1698.8,1522.0
396.779616217,0.0487696870946,1704.0,1523.0
397.242137927,0.0489127905045,1706.8,1525.0
397.704690972,0.0500986402515,1708.1,1522.0
398.167275364,0.0506097095024,1719.1,1530.0
398.629891112,0.0515135715026,1714.8,1523.0
399.092538227,0.0505591807668,1718.9,1530.0
399.55521672,0.0516016148799,1717.4,1525.0
400.0179266,0.050907248932,1725.9,1535.0
400.480667879,0.0519854473476,1722.3,1528.0
400.943440566,0.0514318033492,1711.1,1520.0
401.406244672,0.0527989771254,1724.4,1527.0
401.869080208,0.0526941931802,1728.5,1531.0
402.331947183,0.0518894316191,1725.3,1531.0
402.794845608,0.0529276991286,1728.3,1530.0
403.257775494,0.0556657792209,1729.0,1521.0
403.720736851,0.056674663446,1735.3,1523.0
404.18372969,0.0569746551637,1742.2,1528.0
404.64675402,0.0564564315941,1742.4,1530.0
405.109809852,0.0596806696417,1748.5,1524.0
405.572897196,0.0594025978728,1757.7,1533.0
406.036016064,0.0625340270709,1765.8,1529.0
406.499166465,0.0630347901205,1760.9,1523.0
406.96234841,0.0628290640944,1767.0,1529.0
407.425561908,0.0659305152821,1778.5,1528.0
407.888806972,0.0646588598289,1773.3,1528.0
408.35208361,0.0658128288849,1772.2,1523.0
408.815391833,0.0639067766444,1779.5,1536.0
409.278731653,0.0636470733321,1765.7,1525.0
409.742103078,0.065460104299,1778.9,1530.0
410.20550612,0.0645178478802,1741.4,1501.0
410.668940788,0.0626764063357,1771.0,1533.0
411.132407094,0.0631420851611,1772.9,1533.0
411.595905048,0.0644040459982,1771.1,1527.0
412.059434659,0.0638008365266,1769.8,1528.0
412.522995939,0.0639683122307,1772.8,1530.0
412.986588898,0.0633834859121,1776.2,1535.0
413.450213546,0.0640475029186,1776.6,1533.0
413.913869894,0.0656682903778,1775.1,1526.0
414.377557952,0.0660682928795,1777.9,1527.0
414.84127773,0.0683242173137,1789.5,1529.0
415.305029239,0.0681107936292,1793.3,1533.0
415.76881249,0.070447817286,1801.8,1532.0
416.232627491,0.0727598208025,1812.6,1533.0
416.696474255,0.0747415935551,1810.2,1524.0
417.160352792,0.0752470917779,1824.2,1534.0
417.624263111,0.0750144113786,1825.6,1536.0
418.088205223,0.0762914657214,1827.4,1533.0
418.552179139,0.077246115556,1836.2,1537.0
419.016184869,0.077463409169,1841.9,1541.0
419.480222423,0.0794174168522,1839.4,1532.0
419.944291812,0.0787555366701,1835.4,1531.0
420.408393046,0.0777679858291,1840.8,1539.0
420.872526136,0.0791577446281,1847.9,1540.0
421.336691092,0.0784974104251,1840.3,1536.0
421.800887924,0.0777000941256,1844.1,1542.0
422.265116643,0.0755493296751,1833.8,1541.0
422.729377259,0.0775802453855,1841.2,1540.0
423.193669782,0.0758163382052,1838.5,1544.0
423.657994224,0.0768765425707,1841.8,1543.0
424.122350593,0.0767617719242,1843.7,1545.0
424.586738902,0.0783354921642,1846.8,1542.0
425.051159159,0.0779152855278,1849.8,1546.0
425.515611376,0.0777349183491,1858.6,1554.0
425.980095563,0.0805817454293,1863.6,1548.0
426.444611731,0.0808136709806,1865.8,1549.0
426.909159889,0.0807245328601,1860.6,1545.0
427.373740048,0.0815411707269,1882.2,1560.0
427.838352218,0.0807980438376,1883.8,1564.0
428.302996411,0.0861689639592,1910.9,1567.0
428.767672635,0.0863734174501,1917.9,1572.0
429.232380903,0.086631831403,1916.6,1570.0
429.697121223,0.0892749488428,1928.3,1570.0
430.161893607,0.0894579383337,1941.4,1580.0
430.626698065,0.0891397949573,1927.7,1570.0
431.091534607,0.0894799555485,1950.1,1587.0
431.556403244,0.0885357462274,1956.9,1596.0
432.021303985,0.088446965222,1956.5,1596.0
432.486236842,0.0873195587804,1966.1,1608.0
432.951201825,0.0882468639803,1960.5,1600.0
433.416198945,0.0855409706044,1960.5,1610.0
433.88122821,0.0866462828156,1971.6,1615.0
434.346289633,0.0853516297003,1970.6,1619.0
434.811383223,0.0822476511378,1961.4,1623.0
435.276508991,0.0826951355386,1973.1,1631.0
435.741666948,0.0811504375351,1967.3,1632.0
436.206857102,0.0801493768165,1976.0,1643.0
436.672079466,0.0793561532114,1986.8,1655.0
437.137334049,0.0797702087443,1992.3,1658.0
437.602620862,0.0788117909153,1997.5,1666.0
438.067939915,0.0779292406102,2009.0,1679.0
438.533291219,0.0787280804146,2011.5,1678.0
438.998674784,0.0781349843448,2031.5,1697.0
439.46409062,0.0779505284629,2043.8,1708.0
439.929538738,0.0765156862784,2046.6,1716.0
440.395019147,0.0769305200858,2059.3,1725.0
440.86053186,0.0779885597222,2072.7,1732.0
441.326076885,0.0755948419645,2086.3,1753.0
441.791654234,0.0735661393411,2082.5,1758.0
442.257263916,0.0741483326373,2101.9,1772.0
442.722905943,0.0737808978487,2117.9,1787.0
443.188580324,0.0708209363484,2109.4,1792.0
443.65428707,0.0695458643099,2117.3,1804.0
444.120026191,0.0700835329454,2139.9,1821.0
444.585797698,0.0669331687652,2125.6,1822.0
445.051601601,0.0667645724145,2144.6,1839.0
445.517437911,0.065800715356,2144.5,1843.0
445.983306637,0.0629172173455,2138.4,1850.0
446.449207791,0.0609717056018,2141.5,1861.0
446.915141382,0.0595617928548,2138.0,1864.0
447.381107422,0.0589356673953,2152.1,1879.0
447.84710592,0.0602988742864,2176.1,1894.0
448.313136887,0.0583840656645,2152.8,1882.0
448.779200333,0.0570805206581,2176.0,1908.0
449.245296268,0.0562622200486,2201.5,1934.0
449.711424704,0.0543116178788,2200.7,1942.0
450.17758565,0.0546962427454,2224.2,1961.0
450.643779117,0.0549648775648,2242.6,1976.0
451.110005116,0.0534052053093,2247.0,1987.0
451.576263655,0.0535381660497,2259.0,1997.0
452.042554747,0.0534179879213,2277.6,2014.0
452.508878402,0.0513461603924,2299.4,2043.0
452.975234629,0.0503526598901,2291.9,2041.0
453.441623439,0.049067409011,2306.4,2060.0
453.908044843,0.0471077974537,2287.1,2052.0
454.374498851,0.0467888972459,2299.9,2065.0
454.840985473,0.0454170205968,2309.3,2080.0
455.30750472,0.043118222733,2294.9,2078.0
455.774056602,0.041712330424,2310.6,2099.0
456.24064113,0.0414872635427,2296.2,2087.0
456.707258314,0.0411278829747,2295.4,2088.0
457.173908164,0.038587841087,2284.2,2090.0
457.640590691,0.0376480066157,2274.9,2086.0
458.107305905,0.0365175031754,2276.6,2093.0
458.574053816,0.0371878256761,2292.1,2104.0
459.040834436,0.0356882097739,2269.0,2090.0
459.507647774,0.0341612177546,2275.1,2103.0
459.97449384,0.0345138670516,2273.7,2100.0
460.441372646,0.0350674367802,2276.6,2100.0
460.908284201,0.0345244362035,2283.5,2109.0
461.375228516,0.0330561380631,2290.9,2123.0
461.842205602,0.0332807208753,2307.2,2137.0
462.309215468,0.0352540791219,2311.2,2131.0
462.776258125,0.0343052534651,2327.8,2151.0
463.243333584,0.0343710760119,2349.8,2171.0
463.710441855,0.034496233187,2367.8,2187.0
464.177582948,0.0353328729255,2398.4,2211.0
464.644756873,0.0350156827529,2427.0,2239.0
465.111963642,0.0360880707871,2449.3,2254.0
465.579203264,0.0346064225168,2463.7,2275.0
466.04647575,0.0344518368719,2495.3,2305.0
466.51378111,0.0343607450239,2505.6,2315.0
466.981119355,0.0338927337093,2520.2,2331.0
467.448490495,0.0326228893084,2524.7,2342.0
467.915894541,0.0323406270519,2506.9,2327.0
468.383331502,0.0301940904583,2499.9,2332.0
468.850801389,0.0300868307447,2510.0,2342.0
469.318304213,0.0307598370631,2525.7,2353.0
469.785839984,0.0299434344837,2508.1,2341.0
470.253408713,0.0303611909154,2495.5,2327.0
470.721010409,0.0286483084461,2525.2,2364.0
471.188645084,0.0294601560777,2502.1,2338.0
471.656312747,0.0291855307043,2518.7,2355.0
472.124013409,0.0275514448882,2485.8,2333.0
472.591747081,0.0273636208905,2479.4,2328.0
473.059513772,0.0283808675425,2508.7,2350.0
473.527313494,0.0286728579989,2496.5,2337.0
473.995146256,0.027826286316,2502.3,2347.0
474.463012069,0.0280750804858,2498.4,2342.0
474.930910943,0.0286656974475,2501.8,2342.0
475.398842889,0.0295627560681,2524.1,2358.0
475.866807918,0.0299949047598,2545.9,2376.0
476.334806039,0.0298742022292,2578.4,2407.0
476.802837262,0.0301941121108,2580.3,2407.0
477.2709016,0.0310175937859,2609.9,2430.0
477.73899906,0.0307445829256,2614.7,2436.0
478.207129655,0.03147006951,2643.8,2459.0
478.675293395,0.0316642360916,2675.1,2487.0
479.14349029,0.0322856531664,2713.4,2519.0
479.611720349,0.0314841568905,2725.6,2535.0
480.079983585,0.0316342559525,2741.6,2549.0
480.548280006,0.032321449371,2809.5,2608.0
481.016609625,0.0321446087577,2834.2,2632.0
481.48497245,0.0320600689979,2868.1,2664.0
481.953368492,0.0318767228788,2830.3,2630.0
482.421797762,0.0315114730149,2846.2,2647.0
482.89026027,0.0314734718126,2839.5,2641.0
483.358756026,0.0308461526293,2855.8,2660.0
483.827285042,0.0315769500024,2900.4,2697.0
484.295847326,0.0303372103177,2854.6,2662.0
484.764442891,0.0301917392901,2851.5,2660.0
485.233071745,0.0303602856644,2845.1,2653.0
485.7017339,0.029618920926,2882.0,2692.0
486.170429365,0.031280408224,2882.3,2682.0
486.639158152,0.0305672446954,2888.3,2692.0
487.107920271,0.031136817386,2916.8,2715.0
487.576715731,0.0308976209634,2931.3,2730.0
488.045544544,0.0317048661903,2894.8,2691.0
488.51440672,0.0319369512953,2898.5,2693.0
488.983302269,0.0315942205406,2923.1,2718.0
489.452231202,0.0312167455442,2944.2,2740.0
489.921193528,0.0310326112373,2974.1,2769.0
490.390189259,0.0318669762111,2985.2,2774.0
490.859218405,0.0329094897609,3021.5,2801.0
491.328280976,0.0318287917823,3049.5,2834.0
491.797376983,0.0334522235465,3051.2,2825.0
492.266506435,0.0331719175664,3103.2,2875.0
492.735669344,0.0342353412615,3117.3,2881.0
493.20486572,0.0364430171737,3158.2,2904.0
493.674095573,0.0349489280053,3177.7,2932.0
494.143358913,0.0353327571631,3223.9,2972.0
494.612655751,0.0355482411415,3225.5,2972.0
495.081986098,0.0354515274047,3288.8,3031.0
495.551349963,0.0362819920218,3353.8,3085.0
496.020747358,0.0363035639423,3368.1,3098.0
496.490178292,0.0367908462669,3379.5,3105.0
496.959642776,0.0360887036463,3409.9,3138.0
497.42914082,0.036708771802,3458.3,3178.0
497.898672435,0.036138635088,3491.8,3213.0
498.368237631,0.0370261490591,3513.1,3226.0
498.837836419,0.0361200317399,3544.9,3262.0
499.307468809,0.0354461673784,3568.7,3289.0
499.77713481,0.0366784846231,3573.4,3284.0
500.246834435,0.0351052864287,3565.9,3289.0
500.716567693,0.0362430059455,3613.3,3324.0
501.186334594,0.0354878749445,3623.3,3339.0
501.656135149,0.0353318087201,3636.1,3352.0
502.125969368,0.0355011878994,3616.9,3333.0
502.595837262,0.0346684960766,3633.8,3355.0
503.065738841,0.0346788773327,3652.3,3372.0
503.535674115,0.035054395557,3666.3,3382.0
504.005643095,0.0353556959916,3636.3,3352.0
504.475645792,0.0351584332382,3672.6,3387.0
504.945682215,0.0354527416795,3681.6,3393.0
505.415752375,0.0350170487273,3692.0,3406.0
505.885856282,0.0354262249631,3708.5,3418.0
506.355993948,0.0356938112442,3709.7,3417.0
506.826165381,0.0358742566286,3792.7,3492.0
507.296370594,0.0358060908144,3769.3,3471.0
507.766609595,0.0353180601283,3791.1,3495.0
508.236882396,0.0358327883301,3810.8,3509.0
508.707189006,0.0363450298326,3866.4,3556.0
509.177529437,0.0358240198127,3890.0,3582.0
509.647903698,0.0352643945072,3821.0,3523.0
510.1183118,0.0355312810163,3871.1,3567.0
510.588753753,0.036787467274,3911.7,3594.0
511.059229569,0.0362920518576,3995.3,3675.0
511.529739256,0.0352109112396,4017.9,3705.0
512.000282826,0.0351736688025,3959.0,3651.0
512.470860289,0.0354746190419,4016.0,3701.0
512.941471656,0.0355174986302,4008.8,3694.0
513.412116936,0.0350786220251,4049.2,3735.0
513.88279614,0.0352263441248,4056.0,3740.0
514.353509279,0.0350764138408,4054.6,3740.0
514.824256362,0.0346027418827,4087.0,3774.0
515.295037401,0.0349549848631,4091.4,3775.0
515.765852406,0.0353739198589,4084.5,3765.0
516.236701387,0.0346533786817,4060.4,3749.0
516.707584354,0.0349775835556,4132.8,3813.0
517.178501319,0.0341293312829,4115.0,3804.0
517.64945229,0.034272172659,4119.6,3807.0
518.120437279,0.0351954736551,4077.4,3760.0
518.591456297,0.0341437889426,4141.1,3828.0
519.062509353,0.0344143974301,4099.3,3787.0
519.533596457,0.0344514733313,4146.2,3830.0
520.004717621,0.035764914706,4147.9,3820.0
520.475872855,0.0345957820147,4133.5,3817.0
520.947062169,0.0350793199801,4131.6,3811.0
521.418285573,0.0348263629512,4168.2,3847.0
521.889543078,0.0349739181691,4204.3,3879.0
522.360834694,0.0361245863422,4203.5,3868.0
522.832160432,0.0367528949051,4245.5,3901.0
523.303520302,0.0368123021846,4253.7,3908.0
523.774914314,0.0372252213546,4314.4,3960.0
524.246342479,0.0372411396442,4310.2,3956.0
524.717804808,0.0365890471973,4315.7,3967.0
525.18930131,0.0378121021922,4360.6,3997.0
525.660831996,0.036796107279,4426.6,4067.0
