wavelength_nm,absorbance,baseline intensity,sample intensity
337.373260498,0.00791414847358,1556.1,1528.0
337.831827048,0.00842168158562,1556.9,1527.0
338.290423593,0.00756098876144,1552.8,1526.0
338.749050143,0.00853324654209,1557.3,1527.0
339.207706708,0.00686245683512,1556.4,1532.0
339.6663933,0.00898046467755,1553.8,1522.0
340.125109928,0.0084495755117,1557.0,1527.0
340.583856603,0.00754628174067,1555.8,1529.0
341.042633336,0.00952977914176,1552.7,1519.0
341.501440136,0.00898504369586,1557.9,1526.0
341.960277014,0.0094520155487,1551.4,1518.0
342.41914398,0.00803803581769,1559.6,1531.0
342.878041045,0.00852219347788,1559.3,1529.0
343.33696822,0.00907455136332,1557.2,1525.0
343.795925514,0.00929385263481,1553.9,1521.0
344.254912938,0.00950502207855,1556.7,1523.0
344.713930503,0.00871711294214,1560.0,1529.0
345.172978218,0.0102497295073,1556.3,1520.0
345.632056094,0.00983329004471,1558.9,1524.0
346.091164143,0.0097775684021,1558.7,1524.0
346.550302373,0.00975603517593,1557.6,1523.0
347.009470795,0.0103066355759,1560.6,1524.0
347.46866942,0.010160880044,1561.1,1525.0
347.927898259,0.0100152667038,1561.6,1526.0
348.387157321,0.0101264959224,1562.0,1526.0
348.846446617,0.0102854757571,1559.5,1523.0
349.305766157,0.01036323631,1564.9,1528.0
349.765115952,0.0112722477592,1565.1,1525.0
350.224496013,0.0108695145187,1565.7,1527.0
350.683906348,0.0110770376214,1568.5,1529.0
351.14334697,0.0109456422289,1567.0,1528.0
351.602817888,0.0111334822272,1564.6,1525.0
352.062319113,0.0119931146593,1567.7,1525.0
352.521850655,0.0116731736177,1568.6,1527.0
352.981412524,0.0115549452178,1569.2,1528.0
353.441004732,0.0115698893678,1567.2,1526.0
353.900627287,0.0120571282197,1574.1,1531.0
354.360280202,0.014776799295,1566.4,1514.0
354.819963485,0.0135981679872,1576.6,1528.0
355.279677148,0.0123924333865,1571.2,1527.0
355.739421201,0.0136796972912,1573.8,1525.0
356.199195654,0.0153089733865,1573.5,1519.0
356.659000518,0.0146633696707,1575.3,1523.0
357.118835803,0.0147927307665,1573.7,1521.0
357.578701519,0.0137535978842,1575.1,1526.0
358.038597677,0.0138824851704,1576.6,1527.0
358.498524288,0.0153508832939,1566.4,1512.0
358.958481361,0.0132523453212,1580.5,1533.0
359.418468907,0.0129224805175,1579.3,1533.0
359.878486936,0.0140107144428,1575.0,1525.0
360.33853546,0.0145348885394,1573.8,1522.0
360.798614487,0.0148275963894,1579.0,1526.0
361.25872403,0.0152497865584,1579.5,1525.0
361.718864097,0.0146900526094,1578.5,1526.0
362.1790347,0.0162450266057,1585.2,1527.0
362.639235848,0.0157486456188,1586.5,1530.0
363.099467553,0.0171764582593,1578.2,1517.0
363.559729824,0.0155669771182,1584.8,1529.0
364.020022673,0.0180685414471,1587.7,1523.0
364.480346108,0.0170169521676,1590.1,1529.0
364.940700142,0.0181819054389,1590.2,1525.0
365.401084783,0.0174103192037,1590.5,1528.0
365.861500044,0.016531176355,1590.4,1531.0
366.321945933,0.0176992259779,1592.6,1529.0
366.782422461,0.0184430859642,1592.2,1526.0
367.24292964,0.0187212840381,1588.0,1521.0
367.703467478,0.0181429421204,1591.1,1526.0
368.164035987,0.0179058548748,1594.4,1530.0
368.624635177,0.0185947854328,1593.8,1527.0
369.085265058,0.0191938499583,1596.0,1527.0
369.545925641,0.0204277127601,1595.3,1522.0
370.006616937,0.0180924215615,1593.0,1528.0
370.467338954,0.0189065370105,1593.9,1526.0
370.928091705,0.0192779854696,1598.4,1529.0
371.388875199,0.0212977033094,1602.7,1526.0
371.849689446,0.0200622659989,1597.1,1525.0
372.310534458,0.0196039100492,1599.6,1529.0
372.771410244,0.0207963643274,1601.9,1527.0
373.232316815,0.0229172003233,1599.2,1517.0
373.693254182,0.0217171686375,1605.3,1527.0
374.154222354,0.0225153901213,1607.2,1526.0
374.615221342,0.0211351577644,1604.2,1528.0
375.076251157,0.0212702863861,1608.9,1532.0
375.537311808,0.0232928159486,1614.3,1530.0
375.998403307,0.0230333246171,1604.9,1522.0
376.459525663,0.021715103862,1611.6,1533.0
376.920678888,0.0233373700387,1611.3,1527.0
377.381862991,0.0235798797604,1612.2,1527.0
377.843077982,0.0230432082532,1608.1,1525.0
378.304323873,0.024734800775,1611.2,1522.0
378.765600674,0.0246135228747,1617.1,1528.0
379.226908395,0.0238959475487,1617.6,1531.0
379.688247046,0.0252470253844,1623.7,1532.0
380.149616637,0.0264128004025,1618.5,1523.0
380.61101718,0.0269738508298,1617.4,1520.0
381.072448685,0.0268321963188,1619.0,1522.0
381.533911162,0.0277262343453,1626.6,1526.0
381.995404621,0.0274324402133,1625.5,1526.0
382.456929073,0.0269170514924,1625.7,1528.0
382.918484528,0.0270696628898,1628.4,1530.0
