wavelength_nm,absorbance,baseline intensity,sample intensity
337.373260498,0.00170580454296,1556.1,1550.0
337.831827048,0.00277040494268,1556.9,1547.0
338.290423593,0.00303114866537,1552.8,1542.0
338.749050143,0.00204058542822,1557.3,1550.0
339.207706708,0.00235026578483,1556.4,1548.0
339.6663933,0.00274782111239,1553.8,1544.0
340.125109928,0.0036413165684,1557.0,1544.0
340.583856603,0.00106205023083,1555.8,1552.0
341.042633336,0.000755854834259,1552.7,1550.0
341.501440136,0.00192777950111,1557.9,1551.0
341.960277014,0.00348516727669,1551.4,1539.0
342.41914398,0.00184177078739,1559.6,1553.0
342.878041045,0.00259798071991,1559.3,1550.0
343.33696822,0.00257343869925,1557.2,1548.0
343.795925514,0.00418444685633,1553.9,1539.0
344.254912938,0.00215350765538,1556.7,1549.0
344.713930503,0.00167358388957,1560.0,1554.0
345.172978218,0.00316483369118,1556.3,1545.0
345.632056094,0.00304730070142,1558.9,1548.0
346.091164143,0.00411523940597,1558.7,1544.0
346.550302373,0.00184414069837,1557.6,1551.0
347.009470795,0.00408211299721,1560.6,1546.0
347.46866942,0.00281892591324,1561.1,1551.0
347.927898259,0.00211878585772,1561.6,1554.0
348.387157321,0.00334933137099,1562.0,1550.0
348.846446617,0.00237358127956,1559.5,1551.0
349.305766157,0.00164047536086,1564.9,1559.0
349.765115952,0.00365037451987,1565.1,1552.0
350.224496013,0.00186243638628,1565.7,1559.0
350.683906348,0.00319591046564,1568.5,1557.0
351.14334697,0.00250154313204,1567.0,1558.0
351.602817888,0.00295231144511,1564.6,1554.0
352.062319113,0.00297434577394,1567.7,1557.0
352.521850655,0.0035026180204,1568.6,1556.0
352.981412524,0.00199726991622,1569.2,1562.0
353.441004732,0.00255696965013,1567.2,1558.0
353.900627287,0.00307334089881,1574.1,1563.0
354.360280202,0.00401095753689,1566.4,1552.0
354.819963485,0.00348477350304,1576.6,1564.0
355.279677148,0.00282856738046,1571.2,1561.0
355.739421201,0.00243519909153,1573.8,1565.0
356.199195654,0.00262999852541,1573.5,1564.0
356.659000518,0.0039603699443,1575.3,1561.0
357.118835803,0.00268519609563,1573.7,1564.0
357.578701519,0.00334915348392,1575.1,1563.0
358.038597677,0.0032071803444,1576.6,1565.0
358.498524288,0.00401095753689,1566.4,1552.0
358.958481361,0.00428015829313,1580.5,1565.0
359.418468907,0.00256498296268,1579.3,1570.0
359.878486936,0.00248880040369,1575.0,1566.0
360.33853546,0.00326851143272,1573.8,1562.0
360.798614487,0.00359037228637,1579.0,1566.0
361.25872403,0.00428288151734,1579.5,1564.0
361.718864097,0.00373024434577,1578.5,1565.0
362.1790347,0.00307933563911,1585.2,1574.0
362.639235848,0.00315951831081,1586.5,1575.0
363.099467553,0.00392529032225,1578.2,1564.0
363.559729824,0.0032457399072,1584.8,1573.0
364.020022673,0.00376371676013,1587.7,1574.0
364.480346108,0.00221795841825,1590.1,1582.0
364.940700142,0.00362005579282,1590.2,1577.0
365.401084783,0.00287658648896,1590.5,1580.0
365.861500044,0.00367467372434,1590.4,1577.0
366.321945933,0.00399971251683,1592.6,1578.0
366.782422461,0.00334053262868,1592.2,1580.0
367.24292964,0.00356993996546,1588.0,1575.0
367.703467478,0.00386578241032,1591.1,1577.0
368.164035987,0.00394019873801,1594.4,1580.0
368.624635177,0.00267864523576,1593.8,1584.0
369.085265058,0.00492588814131,1596.0,1578.0
369.545925641,0.00308718794116,1595.3,1584.0
370.006616937,0.00328390586892,1593.0,1581.0
370.467338954,0.00298015576704,1593.9,1583.0
370.928091705,0.00365620432814,1598.4,1585.0
371.388875199,0.00318205728163,1602.7,1591.0
371.849689446,0.00248161159063,1597.1,1588.0
372.310534458,0.00316089737041,1599.6,1588.0
372.771410244,0.00433221840226,1601.9,1586.0
373.232316815,0.00497091117785,1599.2,1581.0
373.693254182,0.00334042989279,1605.3,1593.0
374.154222354,0.0035816066801,1607.2,1594.0
374.615221342,0.00358833235748,1604.2,1591.0
375.076251157,0.00376836428953,1608.9,1595.0
375.537311808,0.00440747178818,1614.3,1598.0
375.998403307,0.0043240798443,1604.9,1589.0
376.459525663,0.00368048373837,1611.6,1598.0
376.920678888,0.00468809003507,1611.3,1594.0
377.381862991,0.00329893416089,1612.2,1600.0
377.843077982,0.00491592761551,1608.1,1590.0
378.304323873,0.00438876581634,1611.2,1595.0
378.765600674,0.00434554519511,1617.1,1601.0
379.226908395,0.00447980632763,1617.6,1601.0
379.688247046,0.00530142673283,1623.7,1604.0
380.149616637,0.00580778760011,1618.5,1597.0
380.61101718,0.00551252263611,1617.4,1597.0
381.072448685,0.00431332639923,1619.0,1603.0
381.533911162,0.0049947235517,1626.6,1608.0
381.995404621,0.00443092973312,1625.5,1609.0
382.456929073,0.00448436163302,1625.7,1609.0
382.918484528,0.00547504929493,1628.4,1608.0
383.380070996,0.00510150852443,1627.0,1608.0
383.841688489,0.00538504730216,1631.1,1611.0
384.303337016,0.00492609058218,1631.4,1613.0
384.765016588,0.00481069575783,1634.0,1616.0
385.226727214,0.00636908862034,1634.8,1611.0
385.688468907,0.00543808199723,1639.4,1619.0
386.150241675,0.00538179301759,1640.2,1620.0
386.61204553,0.00567643614152,1640.3,1619.0
387.073880481,0.00487500144859,1648.4,1630.0
387.53574654,0.00407642111588,1648.4,1633.0
387.997643716,0.00441127723325,1642.6,1626.0
388.45957202,0.00519421119917,1648.6,1629.0
388.921531462,0.00418011172978,1659.9,1644.0
389.383522053,0.005958361711,1658.6,1636.0
389.845543804,0.00449124721126,1662.1,1645.0
390.307596723,0.00393029362843,1665.0,1650.0
390.769680823,0.00479020558266,1668.3,1650.0
391.231796113,0.00421712017069,1666.1,1650.0
391.693942603,0.0038404490547,1669.7,1655.0
392.156120305,0.00455585294711,1667.4,1650.0
392.618329228,0.00393029362843,1676.1,1661.0
393.080569383,0.00371708714954,1666.2,1652.0
393.54284078,0.00385024585554,1676.8,1662.0
394.00514343,0.0032185490218,1679.4,1667.0
394.467477343,0.00349873621677,1682.5,1669.0
394.929842529,0.00394202881151,1682.2,1667.0
395.392239,0.00324890814695,1690.6,1678.0
395.854666764,0.00374460445181,1700.6,1686.0
396.317125833,0.00302716972952,1698.8,1687.0
396.779616217,0.00383994085967,1704.0,1689.0
397.242137927,0.00403902658953,1706.8,1691.0
397.704690972,0.00334359014696,1708.1,1695.0
398.167275364,0.00332211348849,1719.1,1706.0
398.629891112,0.00427578893066,1714.8,1698.0
399.092538227,0.00480169020613,1718.9,1700.0
399.55521672,0.00314707523419,1717.4,1705.0
400.0179266,0.00300481115798,1725.9,1714.0
400.480667879,0.0036209352343,1722.3,1708.0
400.943440566,0.00359354897627,1711.1,1697.0
401.406244672,0.00389595146111,1724.4,1709.0
401.869080208,0.00340525949964,1728.5,1715.0
402.331947183,0.00285380473021,1725.3,1714.0
402.794845608,0.00487706722545,1728.3,1709.0
403.257775494,0.00403763030841,1729.0,1713.0
403.720736851,0.00283730529338,1735.3,1724.0
404.18372969,0.00380567183588,1742.2,1727.0
404.64675402,0.00461060092301,1742.4,1724.0
405.109809852,0.00461953351647,1748.5,1730.0
405.572897196,0.00389660205553,1757.7,1742.0
406.036016064,0.00365536639981,1765.8,1751.0
406.499166465,0.00493592233925,1760.9,1741.0
406.96234841,0.00494364452383,1767.0,1747.0
407.425561908,0.00503499878405,1778.5,1758.0
407.888806972,0.0037633433308,1773.3,1758.0
408.35208361,0.00300006440675,1772.2,1760.0
408.815391833,0.00404568004054,1779.5,1763.0
409.278731653,0.00512148571973,1765.7,1745.0
409.742103078,0.00439217914933,1778.9,1761.0
410.20550612,0.00486539300585,1741.4,1722.0
410.668940788,0.00394144038823,1771.0,1755.0
411.132407094,0.0058944305368,1772.9,1749.0
411.595905048,0.0042134940246,1771.1,1754.0
412.059434659,0.00414227467251,1769.8,1753.0
412.522995939,0.00339390359087,1772.8,1759.0
412.986588898,0.00373250975799,1776.2,1761.0
413.450213546,0.00383030180567,1776.6,1761.0
413.913869894,0.00494570319483,1775.1,1755.0
414.377557952,0.00488845919816,1777.9,1758.0
414.84127773,0.00426798517499,1789.5,1772.0
415.305029239,0.00445459109245,1793.3,1775.0
415.76881249,0.00479888288177,1801.8,1782.0
416.232627491,0.00544894467703,1812.6,1790.0
416.696474255,0.00487352957874,1810.2,1790.0
417.160352792,0.00363388453101,1824.2,1809.0
417.624263111,0.00492842083246,1825.6,1805.0
418.088205223,0.00511587459826,1827.4,1806.0
418.552179139,0.0052827003317,1836.2,1814.0
419.016184869,0.00567216900143,1841.9,1818.0
419.480222423,0.00556033796376,1839.4,1816.0
419.944291812,0.00485409799619,1835.4,1815.0
420.408393046,0.00493521767551,1840.8,1820.0
420.872526136,0.00446475998815,1847.9,1829.0
421.336691092,0.00553369881259,1840.3,1817.0
421.800887924,0.00523609520354,1844.1,1822.0
422.265116643,0.00591340153375,1833.8,1809.0
422.729377259,0.00479102042702,1841.2,1821.0
423.193669782,0.00510870689685,1838.5,1817.0
423.657994224,0.00469409599682,1841.8,1822.0
424.122350593,0.00609637679912,1843.7,1818.0
424.586738902,0.00468131852657,1846.8,1827.0
425.051159159,0.00491106963374,1849.8,1829.0
425.515611376,0.00507677650814,1858.6,1837.0
425.980095563,0.00600719472609,1863.6,1838.0
426.444611731,0.0048687182447,1865.8,1845.0
426.909159889,0.00601694803286,1860.6,1835.0
427.373740048,0.00585386534161,1882.2,1857.0
427.838352218,0.0057554027895,1883.8,1859.0
428.302996411,0.00708011116416,1910.9,1880.0
428.767672635,0.00659400123169,1917.9,1889.0
429.232380903,0.00652949385018,1916.6,1888.0
429.697121223,0.00779462658477,1928.3,1894.0
430.161893607,0.0079921289858,1941.4,1906.0
430.626698065,0.00697211647786,1927.7,1897.0
431.091534607,0.00630349897084,1950.1,1922.0
431.556403244,0.00623640559827,1956.9,1929.0
432.021303985,0.00592254322893,1956.5,1930.0
432.486236842,0.00714913344584,1966.1,1934.0
432.951201825,0.00771056384771,1960.5,1926.0
433.416198945,0.00591037688924,1960.5,1934.0
433.88122821,0.0063460088829,1971.6,1943.0
